semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,MT1003,Giải tích 1,4,BẮT BUỘC,,True
1,MT1005,Giải tích 2,4,BẮT BUỘC,,True
1,MT1007,Đại số Tuyến tính,3,BẮT BUỘC,,True
1,MT2013,Xác suất và Thống kê,4,BẮT BUỘC,,True
1,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
1,PH1003,Vật lý 1,4,BẮT BUỘC,,True
1,PH1007,Thí nghiệm Vật lý,1,BẮT BUỘC,,True
1,CO1007,Cấu trúc Rời rạc cho Khoa học Máy tính,4,BẮT BUỘC,,True
1,CO2011,Mô hình hóa Toán học,3,BẮT BUỘC,,True
1,SP1007,Pháp luật Việt Nam Đại cương,2,BẮT BUỘC,,True
1,SP1031,Triết học Mác - Lênin,3,BẮT BUỘC,,True
1,SP1033,Kinh tế Chính trị Mác - Lênin,2,BẮT BUỘC,,True
1,SP1035,Chủ nghĩa Xã hội Khoa học,2,BẮT BUỘC,,True
1,SP1037,Tư tưởng Hồ Chí Minh,2,BẮT BUỘC,,True
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,BẮT BUỘC,,True
1,CO1005,Nhập môn Điện toán,3,BẮT BUỘC,,True
1,CO2001,Kỹ năng Chuyên nghiệp cho Kỹ sư,3,BẮT BUỘC,,True
1,IM1013,Kinh tế học Đại cương,3,TỰ CHỌN,,False
1,IM1023,Quản lý Sản xuất cho Kỹ sư,3,TỰ CHỌN,,False
1,IM1025,Quản lý Dự án cho Kỹ sư,3,TỰ CHỌN,,False
1,IM1027,Kinh tế Kỹ thuật,3,TỰ CHỌN,,False
1,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,TỰ CHỌN,,False
1,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,TỰ CHỌN,,False
1,ME1019,Quản lý năng suất và chất lượng,3,TỰ CHỌN,,False
1,LA1003,Anh văn 1,2,TỰ CHỌN,,False
1,LA1005,Anh văn 2,2,TỰ CHỌN,,False
1,LA1007,Anh văn 3,2,TỰ CHỌN,,False
1,LA1009,Anh văn 4,2,TỰ CHỌN,,False
1,CO1023,Hệ thống số,3,TỰ CHỌN,,False
1,CO1027,Kỹ thuật Lập trình,3,TỰ CHỌN,,False
1,CO2003,Cấu trúc Dữ liệu và Giải Thuật,4,TỰ CHỌN,,False
1,CO2007,Kiến trúc Máy tính,4,TỰ CHỌN,,False
1,CO2013,Hệ cơ sở Dữ liệu,4,TỰ CHỌN,,False
1,CO2039,Lập trình Nâng cao,3,TỰ CHỌN,,False
1,CO2017,Hệ điều hành,3,BẮT BUỘC,,True
1,CO3001,Công nghệ Phần mềm,3,BẮT BUỘC,,True
1,CO3005,Nguyên lý Ngôn ngữ Lập trình,4,BẮT BUỘC,,True
1,CO3093,Mạng máy tính,3,BẮT BUỘC,,True
1,CO3101,Đồ án Tổng hợp - Hướng Trí tuệ Nhân tạo,1,TỰ CHỌN NHÓM A,A,False
1,CO3103,Đồ án Tổng hợp - hướng Công nghệ Phần mềm,1,TỰ CHỌN NHÓM A,A,False
1,CO3105,Đồ án Tổng hợp - Hướng Hệ thống Thông tin,1,TỰ CHỌN NHÓM A,A,False
1,CO3127,Đồ án tổng hợp - hướng kỹ thuật dữ liệu,1,TỰ CHỌN NHÓM A,A,False
1,CO3119,Đồ án Mạng máy tính,1,TỰ CHỌN NHÓM A,A,False
1,CO3107,Thực tập Đồ án môn học Đa ngành - Hướng Trí tuệ Nhân tạo,1,TỰ CHỌN NHÓM B,B,False
1,CO3109,Thực tập Đồ án môn học Đa ngành - Hướng công Nghệ phần mề,0,TỰ CHỌN NHÓM B,B,False
1,CO3111,Thực tập Đồ án môn học Đa ngành - hướng Hệ thống Thông tin,1,TỰ CHỌN NHÓM B,B,False
1,CO3021,Hệ Quản trị Cơ sở Dữ Liệu,3,TỰ CHỌN NHÓM B,B,False
1,CO3027,Thương mại Điện tử,3,TỰ CHỌN NHÓM B,B,False
1,CO3029,Khai phá Dữ liệu,3,TỰ CHỌN NHÓM B,B,False
1,CO3033,Bảo mật Hệ thống Thông tin,3,TỰ CHỌN NHÓM B,B,False
1,CO3115,Phân tích và Thiết kế Hệ thống,3,TỰ CHỌN NHÓM B,B,False
1,CO4031,Kho dữ Liệu và Hệ hỗ trợ Quyết định,3,TỰ CHỌN NHÓM B,B,False
1,CO4033,Phân tích Dữ liệu lớn và Trí tuệ Kinh doanh,3,TỰ CHỌN NHÓM B,B,False
1,CO4035,Hệ hoạch Định tài Nguyên tổ chức,3,TỰ CHỌN NHÓM B,B,False
1,CO4037,Hệ thống thông tin quản lý,3,TỰ CHỌN NHÓM B,B,False
1,CO4039,Bảo mật sinh trắc,3,TỰ CHỌN NHÓM B,B,False
1,CO3139,Chuyển đổi số,3,TỰ CHỌN NHÓM B,B,False
1,CO3137,Dữ liệu lớn,3,TỰ CHỌN NHÓM B,B,False
1,CO3011,Quản lý Dự án Phần mềm,3,TỰ CHỌN NHÓM B,B,False
1,CO3129,Bảo mật Phần mềm,3,TỰ CHỌN NHÓM B,B,False
1,CO3131,Công nghệ Phần mềm thế hệ mới,3,TỰ CHỌN NHÓM B,B,False
1,CO3015,Kiểm tra Phần mềm,3,TỰ CHỌN NHÓM B,B,False
1,CO3017,Kiến trúc Phần mềm,3,TỰ CHỌN NHÓM B,B,False
1,CO3065,Công nghệ Phần mềm Nâng cao,3,TỰ CHỌN NHÓM B,B,False
1,CO3041,Hệ thống Thông minh,3,TỰ CHỌN NHÓM B,B,False
1,CO3049,Lập trình Web,3,TỰ CHỌN NHÓM B,B,False
1,CO3135,Lập trình cho Trí tuệ nhân tạo và Khoa học dữ liệu,0,TỰ CHỌN NHÓM B,B,False
1,CO3089,Những Chủ đề Nâng cao trong Khoa học Máy tính,3,TỰ CHỌN NHÓM B,B,False
1,CO3151,Quản trị mạng,3,TỰ CHỌN NHÓM B,B,False
1,CO3051,Hệ thống thiết bị di động,3,TỰ CHỌN NHÓM B,B,False
1,CO3069,Mật mã và An ninh mạng,3,TỰ CHỌN NHÓM B,B,False
1,CO3153,Đánh giá an toàn mạng máy tính,3,TỰ CHỌN NHÓM B,B,False
1,CO3061,Nhập môn Trí tuệ Nhân tạo,3,TỰ CHỌN NHÓM B,B,False
1,CO3117,Học máy,3,TỰ CHỌN NHÓM B,B,False
1,CO3133,Học sâu và Ứng dụng,3,TỰ CHỌN NHÓM B,B,False
1,CO3085,Xử lý Ngôn ngữ Tự nhiên,3,TỰ CHỌN NHÓM B,B,False
1,CO3057,Xử lý Ảnh số và Thị giác Máy tính,3,TỰ CHỌN NHÓM B,B,False
1,CO3045,Lập trình Game,3,TỰ CHỌN NHÓM B,B,False
1,CO3059,Đồ họa Máy tính,3,TỰ CHỌN NHÓM B,B,False
1,CO3067,Tính toán Song song,3,TỰ CHỌN NHÓM B,B,False
1,CO3037,Phát triển Ứng dụng Internet of Things,3,TỰ CHỌN NHÓM B,B,False
1,CO3043,Phát triển Ứng dụng trên Thiết bị Di động,3,TỰ CHỌN NHÓM B,B,False
1,CO3335,Thực tập Ngoài trường,2,TỰ CHỌN TỰ DO,FREE,False
1,CO4029,Đồ án Chuyên ngành,2,TỰ CHỌN TỰ DO,FREE,False
1,CO4337,Đồ án Tốt nghiệp (Khoa học Máy tính),4,TỰ CHỌN TỰ DO,FREE,False
1,MI1003,Giáo dục Quốc phòng,0,TỰ CHỌN TỰ DO,FREE,False
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1061,Pickleball (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1033,Bóng đá (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1035,Bóng chuyền (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1039,Bóng rổ (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1041,Cầu lông (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1043,Bơi (học Phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1045,Aerobic (học Phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1049,Điền kinh (học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1051,Quần vợt (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1059,Bowling (học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1063,Pickleball (học phần 2),0,Thể dục (Chọn 1),PE,False
1,SA4001,Hoạt động sinh viên,0,Thể dục (Chọn 1),PE,False
